entrez_id	symbol
2210	FCGR1B
1319	CORD1
8120	ap3b2
1091	CEACAMP2
5373	PMM2
4392	MRX28
6871	TADA2A
3929	LBP
7163	TPD52
5740	PTGIS
2958	GTF2A2
7214	TRN-GTT2-1
6095	RORA
10336	PCGF3
10330	CNPY2
933	CD22
3487	IGFBP4
3717	JAK2
3	A2MP1
6363	CCL19
7072	TIA1
2848	GPR25
6606	SMN1
8864	PER2
823	CAPN1
13	aadac
8302	KLRC4
416	ARSF
7333	UBE2L4
9196	KCNAB3
2970	GTF2IP1
7235	TRU-TCA2-1
2979	guca1b
2978	GUCA1A
818	CAMK2G
916	CD3E
8045	RASSF7
1301	COL11A1
7316	UBC
2306	FOXD2
2300	FOXL1
8048	CSRP3
7621	ZNF70
810	CALML3
6898	TAT
5631	PRPS1
9181	ARHGEF2
2964	GTF2F2P1
1058	CENPA
3939	LDHA
4378	MRX14
1836	SLC26A2
9600	PITPNM1
5333	PLCD1
3824	KLRD1
3620	IDO1
7453	WARS
8843	hcar3
2480	FRAXD
5325	PLAGL1
86	ACTL6A
8367	HIST1H4E
4360	MRC1
4650	MYO9B
7586	ZKSCAN1
9610	RIN1
122	ADFN
4842	NOS1
2469	FRA19A
5924	RASGRF2
970	CD70
10964	IFI44L
7446	AVSD1
9063	PIAS2
9705	ST18
10577	NPC2
71	ACTG1
4644	MYO5A
10833	NPM1P14
10971	YWHAQ
4685	NCAM2
3709	ITPR2
868	CBLB
962	CD48
7478	WNT8A
4990	SIX6
2230	FDX1
4985	OPRD1
5518	PPP2R1A
5519	PPP2R1B
7870	trr
5307	PITX1
8819	SAP30
5110	PCMT1
144	PARP1P1
5301	PIN1P1
7561	ZNF14
7467	WHCR
9731	CEP104
8086	AAAS
2490	FSHMD1B
11313	LYPLA2
8477	GPR65
8704	B4GALT2
2868	GRK4
7862	BRPF1
4336	MOBP
4337	MOCS1
10151	HNRNPA3P1
5166	PDK4
1296	COL8A2
6556	SLC11A1
3005	H1F0
6972	TRGJP2
7952	TNDM
282	ANCR
6415	SELENOW
9046	dok2
3341	HTC1
1525	CXADR
6968	Trgj1
9752	PCDHA9
5942	RBMY1C
9656	MDC1
5445	PON2
4034	lrch4
4033	LRMP
8545	CGGBP1
3692	EIF6
8682	PEA15
2299	FOXI1
4833	NME4
5551	PRF1
10002	NR2E3
1512	CTSH
6694	SPP2
8942	KYNU
6406	SEMG1
3544	IGLL2P
4026	LPP
11146	GLMN
10168	ZNF197
8537	BCAS1
6011	GRK1
7699	ZNF140
5931	RBBP7
9626	GUCA1C
7830	PHA2A
6189	RPS3A
8384	OR1D3P
2627	GATA6
2763	gmfA
10425	ARIH2
5822	PWP2
7922	SLC39A7
4019	LPAL1
3415	IDDM16
4805	NHCP1
2398	FRA5E
2171	FABP5
1266	CNN3
8187	ZNF239
9426	CDY2A
9420	CYP7B1
8373	IFIT1P1
9562	MINPP1
8667	EIF3H
1776	DNASE1L3
10129	FRY
5954	RCN1
5816	PVALB
11051	NUDT21
9966	TNFSF15
3049	HBQ1
5259	PHKBP2
785	CACNB4
3581	IL9R
5577	PRKAR2B
644	BLVRA
5992	RFX4
9282	MED14
6827	SUPT4H1
8577	TMEFF1
9104	RGN
6927	HNF1A
8168	TW
5989	RFX1
2197	FAU
6259	RYK
10198	MPHOSPH9
8777	MPDZ
1566	CYP2D7BP
6116	RP24
243	ALOX12P1
3636	INPPL1
3055	HCK
11043	MID2
1138	CHRNA5
11249	NXPH2
8582	OR8B1P
5693	PSMB5
3452	IFNA21
239	ALOX12
6938	TCF12
9113	LATS1
9019	MPZL1
3647	EIF3EP1
2938	GSTA1
765	ca6
4709	NDUFB3
6638	SNRPN
3904	LAIR2
6707	SPRR3
767	CA8
362	AQP5
666	BOK
6247	RS1
9851	KIAA0753
8284	KDM5D
9853	RUSC2
5868	RAB5A
6433	SFSWAP
11065	UBE2C
7151	TOP1P1
5192	PEX10
5096	PCCB
2731	GLDC
9933	PUM3
5098	PCDHGC3
6231	RPS26
7153	TOP2A
1874	E2F4
4715	NDUFB9
8000	PSCA
3764	KCNJ8
6862	T
3167	HMX2
6129	RPL7
4914	NTRK1
902	CCNH
